,batch,ctype_ubcupdate,genotype_crct_x,genotype_crct_y,timepoint
398,58241,GABAergic interneuron 3,39,SCA1,30wk
399,58241,Granule cell,11095,SCA1,30wk
400,58241,Microglia,35,SCA1,30wk
401,58241,Oligodendrocyte,349,SCA1,30wk
402,58241,Oligodendrocyte progenitor cell,47,SCA1,30wk
403,58241,Pericyte,32,SCA1,30wk
404,58241,Purkinje cell,78,SCA1,30wk
405,58241,Unipolar brush cell,22,SCA1,30wk
406,58242,Astrocyte,272,SCA1,30wk
407,58242,Bergmann glia,352,SCA1,30wk
408,58242,Deep cerebellar nuclei,29,SCA1,30wk
409,58242,Endothelial cell,141,SCA1,30wk
410,58242,GABAergic interneuron 1,492,SCA1,30wk
411,58242,GABAergic interneuron 2,134,SCA1,30wk
412,58242,GABAergic interneuron 3,37,SCA1,30wk
413,58242,Granule cell,9034,SCA1,30wk
414,58242,Microglia,41,SCA1,30wk
415,58242,Oligodendrocyte,275,SCA1,30wk
416,58242,Oligodendrocyte progenitor cell,22,SCA1,30wk
417,58242,Pericyte,42,SCA1,30wk
418,58242,Purkinje cell,67,SCA1,30wk
419,58242,Unipolar brush cell,20,SCA1,30wk
